	app_id	name	category	rating	reviews	app_size_kb	installs	type	price	content_rating	last_updated	min_android_ver
1	1	Photo Editor & Candy Camera & Grid & ScrapBook	ART_AND_DESIGN	4.1	159	19000	10000	Free	0.0	Everyone	2018	4
2	2	Coloring book moana	ART_AND_DESIGN	3.9	967	14000	1000000	Free	0.0	Everyone	2018	4
3	3	U Launcher Lite – FREE Live Cool Themes, Hide Apps	ART_AND_DESIGN	4.7	87510	8700	10000000	Free	0.0	Everyone	2018	4
4	4	Pixel Draw - Number Art Coloring Book	ART_AND_DESIGN	4.3	967	2800	1000000	Free	0.0	Everyone	2018	4
5	5	Paper flowers instructions	ART_AND_DESIGN	4.4	167	5600	10000	Free	0.0	Everyone	2017	2
6	6	Smoke Effect Photo Maker - Smoke Editor	ART_AND_DESIGN	3.8	178	19000	10000	Free	0.0	Everyone	2018	4
7	7	Infinite Painter	ART_AND_DESIGN	4.1	36815	29000	1000000	Free	0.0	Everyone	2018	4
8	8	Garden Coloring Book	ART_AND_DESIGN	4.4	13791	33000	1000000	Free	0.0	Everyone	2017	3
9	9	Kids Paint Free - Drawing Fun	ART_AND_DESIGN	4.7	121	3100	10000	Free	0.0	Everyone	2018	4
10	10	Text on Photo - Fonteee	ART_AND_DESIGN	4.4	13880	28000	1000000	Free	0.0	Everyone	2017	4
11	11	Name Art Photo Editor - Focus n Filters	ART_AND_DESIGN	4.4	8788	12000	1000000	Free	0.0	Everyone	2018	4
12	12	Tattoo Name On My Photo Editor	ART_AND_DESIGN	4.2	44829	20000	10000000	Free	0.0	Teen	2018	4
13	13	Mandala Coloring Book	ART_AND_DESIGN	4.6	4326	21000	1000000	Free	0.0	Everyone	2018	4
14	14	3D Color Pixel by Number - Sandbox Art Coloring	ART_AND_DESIGN	4.4	1518	37000	1000000	Free	0.0	Everyone	2018	2
15	15	Photo Designer - Write your name with shapes	ART_AND_DESIGN	4.7	3632	5500	1000000	Free	0.0	Everyone	2018	4
16	16	350 Diy Room Decor Ideas	ART_AND_DESIGN	4.5	27	17000	10000	Free	0.0	Everyone	2017	2
17	17	FlipaClip - Cartoon animation	ART_AND_DESIGN	4.3	194216	39000	10000000	Free	0.0	Everyone	2018	4
18	18	ibis Paint X	ART_AND_DESIGN	4.6	224399	31000	10000000	Free	0.0	Everyone	2018	4
19	19	Logo Maker - Small Business	ART_AND_DESIGN	4.0	450	14000	1000000	Free	0.0	Everyone	2018	4
20	20	Boys Photo Editor - Six Pack & Men's Suit	ART_AND_DESIGN	4.1	654	12000	1000000	Free	0.0	Everyone	2018	4
21	21	Superheroes Wallpapers | 4K Backgrounds	ART_AND_DESIGN	4.7	7699	4200	1000000	Free	0.0	Everyone 10+	2018	4
22	22	HD Mickey Minnie Wallpapers	ART_AND_DESIGN	4.7	118	23000	10000	Free	0.0	Everyone	2018	4
23	23	Harley Quinn wallpapers HD	ART_AND_DESIGN	4.8	192	6000	10000	Free	0.0	Everyone	2018	3
24	24	Colorfit - Drawing & Coloring	ART_AND_DESIGN	4.7	20260	25000	1000000	Free	0.0	Everyone	2017	4
25	25	Animated Photo Editor	ART_AND_DESIGN	4.1	203	6100	1000000	Free	0.0	Everyone	2018	4
26	26	Pencil Sketch Drawing	ART_AND_DESIGN	3.9	136	4600	10000	Free	0.0	Everyone	2018	2
27	27	Easy Realistic Drawing Tutorial	ART_AND_DESIGN	4.1	223	4200	1000000	Free	0.0	Everyone	2017	2
